executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url
13144,Adjustments of Certain Rates of Pay,12/23/1999,12/21/1999,64 FR 72237, 99-33511,"Supersedes: EO 13106, December 7, 1998 (in part);
;  Superseded by: EO 13182, December 23, 2000",https://www.federalregister.gov/articles/1999/12/23/99-33511/adjustments-of-certain-rates-of-pay
13145,To Prohibit Discrimination in Federal Employment Based on Genetic Information,02/10/2000,02/08/2000,65 FR 6877, 00-3331,"",https://www.federalregister.gov/articles/2000/02/10/00-3331/to-prohibit-discrimination-in-federal-employment-based-on-genetic-information
13146,"President's Council on the Future of Princeville, North Carolina",03/02/2000,02/29/2000,65 FR 11201, 00-5209,"",https://www.federalregister.gov/articles/2000/03/02/00-5209/presidents-council-on-the-future-of-princeville-north-carolina
13147,White House Commission on Complementary and Alternative Medicine Policy,03/10/2000,03/07/2000,65 FR 13233, 00-6126,"Amended by: EO 13167, September 15, 2000;
;  Revoked by: EO 13316, September 17, 2003",https://www.federalregister.gov/articles/2000/03/10/00-6126/white-house-commission-on-complementary-and-alternative-medicine-policy
13148,Greening the Government Through Leadership in,04/26/2000,04/21/2000,65 FR 24595, 00-10550,"Revokes: EO 12088, October 13, 1978 (in part); EO 12843, April 21, 1993; EO 12856, August 3, 1993; EO 12969, August 8, 1995; Memorandum of April 26, 1994;
;  Revoked by: EO 13423, January 24, 2007;
;  See:  EO 13101, September 14, 1998; EO 13123, June 3, 1999; EO 13134, August 12, 1999",https://www.federalregister.gov/articles/2000/04/26/00-10550/greening-the-government-through-leadership-in
13149,Greening the Government Through Federal Fleet and,04/26/2000,04/21/2000,65 FR 24607, 00-10551,"Revokes: EO 13031, December 13, 1996;
;  Revoked by: EO 13423, January 24, 2007;
;  See:  EO 13101, September 14, 1998; Proc. 7308, May 15, 2000 (65 FR 31783)",https://www.federalregister.gov/articles/2000/04/26/00-10551/greening-the-government-through-federal-fleet-and
13150,Federal Workforce Transportation,04/26/2000,04/21/2000,65 FR 24613, 00-10552,"",https://www.federalregister.gov/articles/2000/04/26/00-10552/federal-workforce-transportation
13151,Global Disaster Information Network,05/02/2000,04/27/2000,65 FR 25619, 00-11070,"Amended by: EO 13284, January 23, 2003",https://www.federalregister.gov/articles/2000/05/02/00-11070/global-disaster-information-network
13152,"Further Amendment to Executive Order 11478, Equal Employment Opportunity in Federal Government",05/04/2000,05/02/2000,65 FR 26115, 00-11336,"Amends:  EO 11478, August 8, 1969;
;  Note: This Executive order expands equal employment policy in the Federal Government by prohibiting discrimination based on parental status.",https://www.federalregister.gov/articles/2000/05/04/00-11336/further-amendment-to-executive-order-11478-equal-employment-opportunity-in-federal-government
13153,Actions To Improve Low-Performing Schools,05/05/2000,05/03/2000,65 FR 26475, 00-11531,"",https://www.federalregister.gov/articles/2000/05/05/00-11531/actions-to-improve-low-performing-schools
13154,Establishing the Kosovo Campaign Medal,05/05/2000,05/03/2000,65 FR 26479, 00-11532,"Amended by: EO 13286, February 28, 2003;
;  See:  EO 10977, December 4, 1961; EO 12985, January 11, 1996",https://www.federalregister.gov/articles/2000/05/05/00-11532/establishing-the-kosovo-campaign-medal
13155,Access to HIV/AIDS Pharmaceuticals and Medical,05/12/2000,05/10/2000,65 FR 30521, 00-12177,"",https://www.federalregister.gov/articles/2000/05/12/00-12177/access-to-hivaids-pharmaceuticals-and-medical
13156,Amendment to Executive Order 12871 Regarding the National Partnership Council,05/19/2000,05/17/2000,65 FR 31785, 00-12840,"Amends:  EO 12871, October 1, 1993;
;  See:  EO 12983, December 21, 1995; EO 13203, February 17, 2001",https://www.federalregister.gov/articles/2000/05/19/00-12840/amendment-to-executive-order-12871-regarding-the-national-partnership-council
13157,Increasing Opportunities for Women-Owned Small Businesses,05/25/2000,05/23/2000,65 FR 34035, 00-13367,"",https://www.federalregister.gov/articles/2000/05/25/00-13367/increasing-opportunities-for-women-owned-small-businesses
13158,Marine Protected Areas,05/31/2000,05/26/2000,65 FR 34909, 00-13830,"See:  Proc. 5030, March 10, 1983; Proc. 5928, December 27, 1988; Proc. 7219, September 2, 1999; EO 13178, December 4, 2000",https://www.federalregister.gov/articles/2000/05/31/00-13830/marine-protected-areas
13159,Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons,06/26/2000,06/21/2000,65 FR 39279, 00-16252,"See:  EO 12938, November 14, 1994; EO 13085, May 26, 1998; Notice of June 18, 2002; Notice of June 10, 2003; Notice of June 16, 2004; Notice of June 17, 2005; Notice of June 19, 2006; Notice of June 19, 2007; Notice of June 18, 2008; Notice of June 18, 2009; Notice of June 17, 2010",https://www.federalregister.gov/articles/2000/06/26/00-16252/blocking-property-of-the-government-of-the-russian-federation-relating-to-the-disposition-of-highly
13160,"Nondiscrimination on the Basis of Race, Sex, Color, National Origin, Disability, Religion, Age, Sexual Orientation, and Status as a Parent in Federally Conducted Education and Training Programs",06/27/2000,06/23/2000,65 FR 39775, 00-16434,"See:  EO 12250, November 2, 1980",https://www.federalregister.gov/articles/2000/06/27/00-16434/nondiscrimination-on-the-basis-of-race-sex-color-national-origin-disability-religion-age-sexual
13161,Establishment of the Presidential Medal of Valor for Public Safety Officers,07/05/2000,06/29/2000,65 FR 41543, 00-17174,"",https://www.federalregister.gov/articles/2000/07/05/00-17174/establishment-of-the-presidential-medal-of-valor-for-public-safety-officers
13162,Federal Career Intern Program,07/12/2000,07/06/2000,65 FR 43211, 00-17829,"Revokes: EO 12596, May 7, 1987;
;  Revoked by: EO 13562, December 27, 2010",https://www.federalregister.gov/articles/2000/07/12/00-17829/federal-career-intern-program
13163,Increasing the Opportunity for Individuals With Disabilities To Be Employed in the Federal Government,07/28/2000,07/26/2000,65 FR 46563, 00-19322,"See: EO 13548, July 26, 2010; EO 13583, August 18, 2011",https://www.federalregister.gov/articles/2000/07/28/00-19322/increasing-the-opportunity-for-individuals-with-disabilities-to-be-employed-in-the-federal
13164,Requiring Federal Agencies To Establish Procedures To,07/28/2000,07/26/2000,65 FR 46565, 00-19323,"",https://www.federalregister.gov/articles/2000/07/28/00-19323/requiring-federal-agencies-to-establish-procedures-to
13165,Creation of the White House Task Force on Drug Use in Sports and Authorization for the Director of the Office of National Drug Control Policy To Serve as the United States Government's Representative on the Board of the World Anti-Doping Agency,08/14/2000,08/09/2000,65 FR 49469, 00-20670,"Amended by: EO 13286, February 28, 2003",https://www.federalregister.gov/articles/2000/08/14/00-20670/creation-of-the-white-house-task-force-on-drug-use-in-sports-and-authorization-for-the-director-of
13166,Improving Access to Services for Persons With Limited English Proficiency,08/16/2000,08/11/2000,65 FR 50121, 00-20938,"See:  Department of Justice notice of August 16, 2000 (65 FR 50123)",https://www.federalregister.gov/articles/2000/08/16/00-20938/improving-access-to-services-for-persons-with-limited-english-proficiency
13167,"Amendment to Executive Order 13147, Increasing the Membership of the White House Commission on Complementary and Alternative Medicine Policy",09/20/2000,09/15/2000,65 FR 57079, 00-24364,"Amends:  EO 13147, March 7, 2000",https://www.federalregister.gov/articles/2000/09/20/00-24364/amendment-to-executive-order-13147-increasing-the-membership-of-the-white-house-commission-on
13168,President's Commission on Improving Economic Opportunity in Communities Dependent on Tobacco Production While Protecting Public Health,09/27/2000,09/22/2000,65 FR 58217, 00-24978,"Revoked by: EO 13225, September 28, 2001",https://www.federalregister.gov/articles/2000/09/27/00-24978/presidents-commission-on-improving-economic-opportunity-in-communities-dependent-on-tobacco
13169,Assistance to Small Business Exporters and Dislocated,10/12/2000,10/06/2000,65 FR 60581, 00-26397,"",https://www.federalregister.gov/articles/2000/10/12/00-26397/assistance-to-small-business-exporters-and-dislocated
13170,Increasing Opportunities and Access for Disadvantaged Businesses,10/12/2000,10/06/2000,65 FR 60827, 00-26446,"See:  EO 11625, October 13, 1971",https://www.federalregister.gov/articles/2000/10/12/00-26446/increasing-opportunities-and-access-for-disadvantaged-businesses
13171,Hispanic Employment in the Federal Government,10/16/2000,10/12/2000,65 FR 61251, 00-26716,"See: EO 13583, August 18, 2011",https://www.federalregister.gov/articles/2000/10/16/00-26716/hispanic-employment-in-the-federal-government
13172,"Amendment to Executive Order 13078, To Expand the Role of the National Task Force on Employment of Adults With Disabilities To Include a Focus on Youth",10/27/2000,10/25/2000,65 FR 64577, 00-27892,"Amends:  EO 13078, March 13, 1998",https://www.federalregister.gov/articles/2000/10/27/00-27892/amendment-to-executive-order-13078-to-expand-the-role-of-the-national-task-force-on-employment-of
13173,Interagency Task Force on the Economic Development of the Central San Joaquin Valley,10/27/2000,10/25/2000,65 FR 64579, 00-27893,"Amended by: EO 13359, October 20, 2004",https://www.federalregister.gov/articles/2000/10/27/00-27893/interagency-task-force-on-the-economic-development-of-the-central-san-joaquin-valley
13174,"Commission on Workers, Communities, and Economic Change in the New Economy",11/02/2000,10/27/2000,65 FR 65705, 00-28299,"Revoked by: EO 13218, June 20, 2001",https://www.federalregister.gov/articles/2000/11/02/00-28299/commission-on-workers-communities-and-economic-change-in-the-new-economy
13175,Consultation and Coordination With Indian Tribal,11/09/2000,11/06/2000,65 FR 67249, 00-29003,"Revokes: EO 13084, May 14, 1998;
;  See:  EO 12866, September 30, 1993; EO 12988, February 5, 1996; EO 13132, August 4, 1999; EO 13336, April 30, 2004; Memorandum of April 29, 1994",https://www.federalregister.gov/articles/2000/11/09/00-29003/consultation-and-coordination-with-indian-tribal
13176,Facilitation of a Presidential Transition,11/30/2000,11/27/2000,65 FR 71233, 00-30690,"Superseded by: EO 13476, October 9, 2008",https://www.federalregister.gov/articles/2000/11/30/00-30690/facilitation-of-a-presidential-transition
13177,National Commission on the Use of Offsets in Defense Trade and President's Council on the Use of Offsets in Commercial Trade,12/06/2000,12/04/2000,65 FR 76558, 00-31252,"Revoked (in part) by: EO 13316, September 17, 2003",https://www.federalregister.gov/articles/2000/12/06/00-31252/national-commission-on-the-use-of-offsets-in-defense-trade-and-presidents-council-on-the-use-of
13178,Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve,12/07/2000,12/04/2000,65 FR 76903, 00-31313,"Amended by: EO 13196, January 18, 2001;
;  See:  EO 13089, June 11, 1998; EO 13158, May 26, 2000; Proc. 5030, March 10, 1983; Proc. 5928, December 27, 1988; Proc. 7219, September 2, 1999",https://www.federalregister.gov/articles/2000/12/07/00-31313/northwestern-hawaiian-islands-coral-reef-ecosystem-reserve
13179,Providing Compensation to America's Nuclear Weapons Workers,12/11/2000,12/07/2000,65 FR 77487, 00-31692,"",https://www.federalregister.gov/articles/2000/12/11/00-31692/providing-compensation-to-americas-nuclear-weapons-workers
13180,Air Traffic Performance-Based Organization,12/11/2000,12/07/2000,65 FR 77493, 00-31697,"Amended by: EO 13264, June 4, 2002",https://www.federalregister.gov/articles/2000/12/11/00-31697/air-traffic-performance-based-organization
13181,To Protect the Privacy of Protected Health Information in Oversight Investigations,12/26/2000,12/20/2000,65 FR 81321, 00-33004,"",https://www.federalregister.gov/articles/2000/12/26/00-33004/to-protect-the-privacy-of-protected-health-information-in-oversight-investigations
13182,Adjustments of Certain Rates of Pay,12/29/2000,12/23/2000,65 FR 82879, 00-33450,"Supersedes: EO 13144, December 21, 1999;
;  Superseded by: EO 13249, December 28, 2001",https://www.federalregister.gov/articles/2000/12/29/00-33450/adjustments-of-certain-rates-of-pay
13183,Establishment of the President's Task Force on Puerto Rico's Status,12/29/2000,12/23/2000,65 FR 82889, 00-33451,"Amended by: EO 13209, April 30, 2001; EO 13319, December 3, 2003; EO 13517, October 30, 2009",https://www.federalregister.gov/articles/2000/12/29/00-33451/establishment-of-the-presidents-task-force-on-puerto-ricos-status
13184,Revocation of Executive Order 12834,01/03/2001,12/28/2000,66 FR 697, 01-255,"Revokes: EO 12834, January 20, 1993",https://www.federalregister.gov/articles/2001/01/03/01-255/revocation-of-executive-order-12834
13185,To Strengthen the Federal Government-University Research Partnership,01/03/2001,12/28/2000,66 FR 701, 01-321,"",https://www.federalregister.gov/articles/2001/01/03/01-321/to-strengthen-the-federal-government-university-research-partnership
13186,Responsibilities of Federal Agencies To Protect Migratory Birds,01/17/2001,01/10/2001,66 FR 3853, 01-1387,"",https://www.federalregister.gov/articles/2001/01/17/01-1387/responsibilities-of-federal-agencies-to-protect-migratory-birds
13187,The President's Disability Employment Partnership Board,01/17/2001,01/10/2001,66 FR 3857, 01-1438,"Amends: EO 13078, March 13, 1998;
;  Revokes: EO 12640, May 10, 1988",https://www.federalregister.gov/articles/2001/01/17/01-1438/the-presidents-disability-employment-partnership-board
13188,"Amendment to Executive Order 13111, Extension of the Advisory Committee on Expanding Training Opportunities",01/18/2001,01/12/2001,66 FR 5419, 01-1736,"Amends: EO 13111, January 12, 1999;
;  See: EO 13316, September 17, 2003",https://www.federalregister.gov/articles/2001/01/18/01-1736/amendment-to-executive-order-13111-extension-of-the-advisory-committee-on-expanding-training
13189,Federal Interagency Task Force on the District of Columbia,01/19/2001,01/15/2001,66 FR 5421, 01-1813,"",https://www.federalregister.gov/articles/2001/01/19/01-1813/federal-interagency-task-force-on-the-district-of-columbia
13190,President's Commission on Educational Resource Equity,01/19/2001,01/15/2001,66 FR 5424, 01-1814,"",https://www.federalregister.gov/articles/2001/01/19/01-1814/presidents-commission-on-educational-resource-equity
13191,Implementation of the African Growth and Opportunity Act and the United States-Caribbean Basin Trade Partnership Act,01/22/2001,01/17/2001,66 FR 7271, 01-2014,"",https://www.federalregister.gov/articles/2001/01/22/01-2014/implementation-of-the-african-growth-and-opportunity-act-and-the-united-states-caribbean-basin-trade
13192,Lifting and Modifying Measures With Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),01/23/2001,01/17/2001,66 FR 7379, 01-2138,"Amends: EO 13088, June 9, 1998;
;  See: EO 13121, April 30, 1999; Notice of May 24, 2001 ;
;  Revoked by: EO 13304, May 28, 2003",https://www.federalregister.gov/articles/2001/01/23/01-2138/lifting-and-modifying-measures-with-respect-to-the-federal-republic-of-yugoslavia-serbia-and
13193,Federal Leadership on Global Tobacco Control and Prevention,01/23/2001,01/18/2001,66 FR 7387, 01-2139,"",https://www.federalregister.gov/articles/2001/01/23/01-2139/federal-leadership-on-global-tobacco-control-and-prevention
13194,Prohibiting the Importation of Rough Diamonds From Sierra Leone,01/23/2001,01/18/2001,66 FR 7389, 01-2140,"Amended by: EO 13213, May 22, 2001;
;  See: Notice of January 15, 2002; Notice of January 16, 2003; EO 13312, July 29, 2003;
;  Revoked by: EO 13324, January 15, 2004",https://www.federalregister.gov/articles/2001/01/23/01-2140/prohibiting-the-importation-of-rough-diamonds-from-sierra-leone
13195,Trails for America in the 21st Century,01/23/2001,01/18/2001,66 FR 7391, 01-2141,"",https://www.federalregister.gov/articles/2001/01/23/01-2141/trails-for-america-in-the-21st-century
13196,Final Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve,01/23/2001,01/18/2001,66 FR 7395, 01-2214,"Amends: EO 13178, December 4, 2000",https://www.federalregister.gov/articles/2001/01/23/01-2214/final-northwestern-hawaiian-islands-coral-reef-ecosystem-reserve
13197,Governmentwide Accountability for Merit System Principles; Workforce Information,01/25/2001,01/18/2001,66 FR 7853, 01-2398,"",https://www.federalregister.gov/articles/2001/01/25/01-2398/governmentwide-accountability-for-merit-system-principles-workforce-information
